,Cluster Word Count,Centroid Words,Sample Words,All Words
0,3,"['coup', ""coup_d'_etat"", ""coup_d'_état"", 'putsch', 'bloodless_coup', 'coups', 'abortive_coup', 'overthrow', 'Coup', 'coup_plotters', 'foiled_coup', ""coup_d'_Etat"", 'mutiny', 'staged_bloodless_coup', ""bloodless_coup_d'_état"", ""bloodless_coup_d'_etat"", 'overthrow_Equatorial_Guinea', 'leader_Maj._Daouda', 'd_etat', 'Allende_bodyguards', 'bloodless_putsch', 'accuses_RCTV', 'overthrew_democratically_elected', 'plotting_coup', 'President_Maaouiya_Ould', 'countercoup', 'Captain_Moussa_Camara', 'putschists', 'Greek_Cypriot_coup', ""Coup_D'"", ""Coup_d'_état"", 'bloodless_revolt', 'Gen._Kenan_Evren', 'junta', 'dictatorship', 'Robert_Guei', ""Maaouya_Ould_Sid'Ahmed_Taya"", ""coup_d'_etats"", 'coup_detat', 'Gen_Ne_Win', ""coup_d'_états"", 'overthrew_Allende', 'overthrew_Mobutu', 'legitimize_King_Gyanendra', 'oust_Obiang', ""coups_d'_état"", 'Gen._Robert_Guei', 'countercoups', 'insurrection', 'Oplan_Hackle', 'Boonyaratglin', 'revolt', 'golpistas', 'etat', 'putschist', 'destabilization_plots', 'uprising', 'incite_mutiny', 'overthrow_Obiang', ""President_Maaouya_Sid'Ahmed"", 'Lansana_Conté', 'Oakwood_Mutiny', 'overthrow_democratically_elected', 'commander_Frank_Bainimarama', 'Gen_Augusto_Pinochet', 'bloodless_revolution', 'Suchinda_Kraprayoon', 'Correia_Seabra', 'boardroom_coup', 'putsches', 'Conté', 'Sitiveni_Rabuka', 'coupists', 'Commander_Frank_Bainimarama', 'commander_Voreqe_Bainimarama', 'overthrew_Thaksin', 'General_Leopoldo_Galtieri', 'toppled_Ferdinand_Marcos', 'Ould_Taya', 'leader_Voreqe_Bainimarama', 'Maaouiya_Ould_Taya', 'Oakwood_mutiny', 'dictator', 'topple_Obiang', 'Mauritanian_junta', ""plotting_coup_d'"", 'Col._Adamou_Harouna', 'leader_Maximilien_Robespierre', 'Jamil_Mahuad', ""coup_d'"", 'Captain_Dadis_Camara', ""coup_d'_tat"", 'King_Gyanendra_seized', 'Fulgencio_Batista', 'Tupac_Amaru_guerrillas', 'Kumba_Yalla', 'Col_Ely_Ould', 'Prime_Minister_Mohammad_Mossadegh', 'Lt._Gen._Prosper_Avril', 'Suchinda']",['coup'],['coup']
1,5,"['entry', 'metastasis', 'breast', 'metastases', 'recurrent_ovarian', 'endometrial_cancers', 'malignancy', 'micrometastasis', 'axillary_lymph_nodes', 'micrometastases', 'invasive_carcinoma', 'tumor', 'breast_tumors', 'Entry', 'lymph_node_involvement', 'carcinoma', 'U_8G_##M', 'lobular_carcinoma', 'breast_carcinomas', 'precursor_lesions', 'distant_metastasis', 'Lymph_node', 'bone_metastasis', 'metastatic', 'ductal_lavage', 'tumors', 'IGF_1R', 'uterine_ovarian', 'advance', 'distant_metastases', 'endometrial', 'cervical_carcinoma', 'angiogenesis', 'sentinel_node', 'submucosa', 'nodal_dissection', 'gene_rearrangements', 'lymph_node', 'liver_metastasis', 'lymph_node_metastases', 'pancreatic_cancers', 'ovarian_carcinoma', 'per_Independent.ie_subscriber', 'nodal_metastasis', 'breast_cancers', 'pre_malignant_lesions', 'lymph_nodes', 'U_8B_##M', 'tumorigenesis', 'ductal', 'prostate_cancer_metastases', 'sentinel_nodes', 'HGPIN', 'oncogenic_transformation', 'tumor_recurrence', 'milk_ducts', 'excisional_biopsy', 'metastatic_lesions', 'vascularization', 'metastatic_disease', 'tumor_subtypes', 'TrackBack_URL', 'lymph_node_metastasis', 'breast_carcinoma', 'axillary_dissection', 'uterus_womb', 'T1c', 'adnexal_masses', 'neoadjuvant_therapy', 'MDSCs', 'CHI#L#', 'chromosomal_mutations', 'premalignant_cells', 'TAp##', 'malignant_transformation', 'breast_tissue', 'acinar', 'cervix_colon', 'gastric_cancer', 'mitotic', 'pre_cancerous_polyps', 'pelvic_lymphadenectomy', 'colorectal_cancers', 'B_lymphocyte', 'atypical_hyperplasia', 'leukaemic_stem_cells', 'malignant_growths', 'colorectal_gastric', 'lung_tumors', 'prostatic', 'HER2_ErbB2', 'atypia', 'caspase_activation', 'prostate_tumor', 'molecular_abnormalities', 'operable_breast_cancer', 'deCODE_BreastCancer', 'axillary_lymph_node', 'pancreatic_lung', 'malignant_prostate']","['metastasis', 'breast', 'entry', 'advance']","['metastasis', 'breast', 'entry', 'advance']"
2,29,"['trip', 'stopover', 'trips', 'excursion', 'jaunt', 'sojourn', 'trek', 'layover', 'visit', 'brief_stopover', 'journey', 'jaunts', 'stopovers', 'travel', 'flight', 'itinerary', 'pilgrimage', 'stopover_en_route', 'Trip', 'traveling', 'tour', 'treks', 'travels', 'sojourns', 'voyage', 'visits', 'excursions', 'daytrip', 'whirlwind_tour', 'roadtrip', 'journeys', 'sightseeing', 'traveled', 'unscheduled_stopover', 'whistlestop', 'vacation', 'refueling_stopover', 'daytrips', 'whistlestop_visit', 'visiting', 'roundtrip_ticket', 'junket', 'overnighter', 'vist', 'pilgrimmage', 'honeymoon', 'flights', 'hour_layover', 'overland_journey', 'belated_honeymoon', 'backpacking_trip', 'Traveling', 'roundtrip', 'sidetrip', 'overnighting', 'layovers', 'whistlestop_tour', 'journeyed', 'sightsee', 'journeying', 'onward_journey', 'Portsmouth_Cherbourg', 'layover_en_route', 'odyssey', 'airfare', 'roundtrip_voyages', 'pilgrimages', 'destination', 'Benin_Tanzania', 'depart', 'intinerary', 'arduous_journey', 'roundtrip_voyage', 'Qantas_flight_QF###', 'unscheduled_detour', 'mile_trek', 'Nonstop_flights', 'homeward_journey', 'detour', 'emplane', 'backpacking_trek', 'emplaning', 'Travelling', 'roadtrips', 'itineraries', 'transoceanic_flight', 'flew', 'brief_sojourn', 'vacationing', 'vaction', 'circuitous_journey', 'maiden_voyage', 'vacations', 'deluxe_motorcoach', 'newlyweds_honeymooned', 'roundtrip_fare', 'enroute', 'riverboat_cruise', 'mile_roundtrip', 'roundtrip_airfare']","['flight', 'tour', 'travel', 'trip', 'pilgrimage']","['pilgrimage', 'tour', 'stopover', 'travel', 'flight', 'trip', 'visit']"
3,16,"['word', 'phrase', 'words', 'language', 'verb', 'verb_tenses', 'split_infinitive', 'colloquialism', 'verb_noun', 'grammar_syntax', 'cuss_word', 'idiomatic_expressions', 'possessive_pronoun', 'alliterative_phrase', 'polysyllabic_words', 'vocabulary', 'reference', 'phrases', 'phonetic_spellings', 'Tele_prompter', 'comma_splice', 'colloquial_phrase', 'adjectives_adverbs', 'adjective', 'dictionary', 'antidisestablishmentarianism', 'punctuation_grammar', 'astrology_#/##/##', 'leetspeak', 'verbage', 'possessives', 'utterance', 'plural_pronoun', 'verb_tense', 'mere_utterance', 'denotative', 'noun', 'grammatical', 'shorthand', 'pronounciation', 'phraseology', 'phonetic_pronunciations', 'verbiage', 'neologism', 'transitive_verb', 'swearword', 'plural_nouns', 'past_participle', 'grammatical_constructions', 'plurals', 'plural_noun', 'auxiliary_verbs', 'prepositional_phrases', 'plural_pronouns', 'langauge', 'syllable', 'plural_possessive', 'initialisms', 'Scrabble_dictionary', 'adjective_noun', 'verb_endings', 'spelling', 'onomatopoetic', 'difficulty_pronouncing', 'grammatically_incorrect', 'pronoun', 'phonetic_pronunciation', 'vocab', 'verbs_nouns', 'declarative_sentence', 'etymologies', 'barnyard_epithet', 'dialectal', 'phrasal_verbs', 'conjugate_verbs', 'grammatically_correct_sentences', 'schwa', 'ungrammatical', 'noun_adjective', 'gerund', 'descriptor', 'nouns', 'prepositional', 'txt_spk', 'dangling_participle', 'participle', 'textspeak', 'grammatically_correct', 'punctuation_spelling', 'punctuation', 'Mayor_Cirilo_Pena', 'routinely_misspell', 'singular_verb', 'Etymologically', 'Hopefully_Jesse_Leicht', 'make_sailor_blush', 'descriptive_adjectives', 'nonliteral', 'verb_conjugation', 'plural_verb']","['word', 'reference', 'lyric', 'scribble', 'grammar']","['lyric', 'reference', 'grammar', 'message', 'word', 'language', 'scribble']"
4,180,"['By_Jonas_Elmerraji', '%_#F########_7v.jsn', '%_#F########_3v.jsn', '%_#F########_9v.jsn', 'BY_ANDY_THOMPSON', 'By_Laurelle_Gilbert', 'By_Kat_Zeman', 'By_Elise_Viebeck', 'UDBKL', 'By_Tejas_Gunas', 'SFIO_Quote_Chart', 'SECOND_SPOT_DISPATCHES_FROM', 'Chiclone_buffets_Illinois', 'BY_IRENICUS_THE', 'BY_KIMBERLY_NICOLETTI', 'IWEBE', 'Nanette_Maxim', 'By_Christine_Fenno', 'BY_CHERYL_LAVIN_cheryllavin@aol.com', 'screwball_ruse', 'WHO_SAYS_TRAVELING', 'By_Joseph_Woelfel', 'Pacgen_Reports', 'By_Tatyana_Shumsky', 'By_LEON_HALE', ""FAN_'S_ATTIC"", 'Ben_Hur_proportions', 'BY_JESUS_DIAZ', 'Components_www.danaher.com', ""MARILYN_ALVA_INVESTOR_'S"", 'CDMHY', 'By_TV_HAGENAH', 'MUST_BE_LEGAL_RESIDENT', 'By_Miriam_Reimer', 'SCOTT_BAIR_Staff_Writer', 'Halozyme_Therapeutics_Reports', 'OKE_appears', 'EAGLE_COLO', 'KF_OOE', 'HYEOF', 'DIRECTORS_OF_CAPITAL_CORP.', 'Redback_Registration_Statement', 'By_TED_HARBIN', 'dol##.net_index###.html_http_dol##.net', 'BY_LEROY_SIGMAN', 'symbol_UBSH', 'RON_HORNADAY_NO', 'EASY_STREET_CAFE', 'silly_Billen', 'By_Bill_Esbrook', 'By_TREVON_MILLIARD', 'NetEase.com_Reports', 'BY_JEFF_KARN', 'http_dol##.net_index####.html_http', 'SADIF_Analytics_Assigns', 'MookieTheCat', 'index###.html_http_dol##.net_index###.html', 'Kiki_Von_Glinow', 'By_Laurie_Kulikowski', 'XEC_appears', 'Alaskan_Prospectors_Society', 'BY_VINCENT_MAO', 'By_Monica_Gutschi', '%_#F########_2v.jsn', 'By_CITIZEN_STAFF', 'ViroPharma_Incorporated_Reports', 'By_Joseph_Weisenthal', 'Brainiac_Learn_something', 'Andy_Partridge_XTC', 'BXP_appears', 'By_JANIS_CARR', ""JW_'S_SALOON"", 'Engineering_Mentoring_PAESMEM', 'Dave_Chapelle_skit', 'By_SELENA_ROBERTS', 'LRY_appears', '%_#F########_5v.jsn', 'UVV_appears', 'viral_McSween', 'BY_TONY_BRUSCATO', 'By_HARVEY_SIMPSON', 'symbol_SBFC', 'QBE_RSA_UNIQA_Vienna', 'Michel_Berthelot_CA', 'By_RODNEY_WILLIAMS', 'Fyne_Times', 'PSKXF', '%_#F########_6v.jsn', 'Buenos_Ave', 'By_Tina_Alvey', '###-####_emoran@investorrelationsgroup.com', 'By_STEPHEN_WILLIS', 'DAVE_DOWNEY_Staff_Writer', 'JOHN_GALLAGHER_•', 'OR_HER_AGENT', '%_#F########_1v.jsn', 'Freddie_Mac_#-month/#-month/##-month_Oct', 'By_MARTIN_DEMPSTER', 'J._CORDES', 'intelligent_lifebuoy']","['experience', 'war', 'leaf', 'comparison', 'brick']","['glowstick', 'cream', 'border', 'collection', 'mold', 'demand', 'video', 'cutting', 'exception', 'transport', 'headline', 'regulation', 'item', 'stable', 'comparison', 'cactus', 'people', 'country', 'war', 'material', 'annotation', 'mop', 'norm', 'cloth', 'separation', 'horseshoe', 'politics', 'brack', 'spot', 'version', 'host', 'claim', 'house', 'pause', 'constellation', 'pace', 'pattern', 'cup', 'poster', 'figure', 'grade', 'revolution', 'bounce', 'content', 'shoe', 'stand', 'bet', 'situation', 'boat', 'cover', 'band', 'town', 'observation', 'note', 'chain', 'arrival', 'catch', 'commercial', 'role', 'living', 'packet', 'interior', 'tank', 'day', 'matter', 'road', 'wai', 'position', 'ocean', 'team', 'rock', 'leaf', 'charge', 'game', 'start', 'evidence', 'lighting', 'choice', 'substance', 'completion', 'light', 'strike', 'crew', 'meaning', 'division', 'gift', 'sample', 'nightlife', 'repair', 'fringe', 'tourism', 'contact', 'grab', 'populace', 'hair', 'condition', 'furnace', 'experience', 'finding', 'majority', 'connection', 'access', 'flooding', 'record', 'glance', 'repellent', 'type', 'ride', 'scent', 'innovation', 'list', 'picture', 'life', 'support', 'meeting', 'west', 'stay', 'music', 'toy', 'bulk', 'journal', 'mention', 'wallpaper', 'image', 'peace', 'writing', 'drill', 'total', 'horse', 'provocation', 'wave', 'nation', 'check', 'password', 'alternative', 'pin', 'box', 'audience', 'tunnel', 'forum', 'time', 'default', 'drive', 'presentation', 'jam', 'shadow', 'brick']"
5,12,"['noise', 'ambient_noise', 'Noise', 'noises', 'loud_noise', 'sound', 'loudness', 'decible', 'noisy', 'loud_noises', 'ambient_noises', 'vibrations', 'beeping_noise', '###db', 'vibration', 'loud', 'loud_hissing', 'decibel_levels', 'decibel_noise', 'screeching_noises', '##db', 'decibels', 'screeching_noise', 'deafening_noise', 'noice', 'ear_shattering', 'decibel', 'thrum', 'clanking_noises', 'whirring_noise', 'decibel_level', 'decibles', 'obnoxiously_loud', 'audibility', 'hum', 'reverberation', 'dull_roar', 'din', 'beeping_noises', 'deafening', 'acoustical', 'screeching_brakes', 'rattling_noises', 'barking_dogs', 'faint_hum', 'decibels_dB', 'loud_rumbling', 'cacaphony', 'muffled', 'ear_splitting', 'loud_stereos', 'dBs', 'rumble', 'revving_engines', 'cacophony', 'crackling_noise', 'excessively_noisy', 'sounds', 'analyzer_RF_FastSPICE', 'hiss', 'wooshing', 'banging_noises', 'noise_attenuation', 'dBA', 'Wear_earplugs', 'speech_intelligibility', 'decibel_dB', 'harmonic_distortion', 'perceived_loudness', 'whooshing_sound', 'thunder_clap', 'incessant_beeping', 'whoosh_whoosh', 'hissing_noises', 'canceling_microphone', 'noise_vibration', 'sibilance', 'decibel_readings', 'loud_screeching', 'whooshing_sounds', 'roosters_crowing', '0dB', 'tape_hiss', 'boomy', 'unmuffled', 'airhorns', 'SilentSeek', 'noisey', 'roar', 'eardrum_pounding', 'NoiseGuard', 'clunking_noise', 'noise_abatement', 'muffles', 'noisier', 'rumbling_noises', 'screeching_tires', 'gentle_hum', 'thump_thump_thump', 'strange_noises']","['noise', 'sound']","['noise', 'sound']"
6,25,"['sense', 'impression', 'humor_Jena_Elayan', 'feel', 'think', 'feeling', 'deceiving_Hondurans', 'painful_Salcer', 'tad_melodramatic', 'something', 'sounds_trite', 'safe_Arlene_Deche', 'guess', 'perception', 'screwball_ruse', 'thing', 'suppose', 'expletive_cyst', 'really', 'Idealistically', 'Terns_nest', 'lot', 'certainly', 'right_direction_Brockey', 'stunner_Afleet_Alex', 'sort', 'obviously', 'kind', 'Johnnie_Baston_die', 'idea', 'gratuitously_embarrassed', 'breeds_cynicism', 'Immediate_gratification', 'Ben_Hur_proportions', 'sence', 'Dr._Valerie_Voon', 'A.It_s', 'GREG_POTTER_Yes', 'comfortableness', 'standoff_Stacho', 'declaration_Galanti', 'groundedness', ""I'ma_pessimist"", 'gut_feeling', 'laugh_Taffaro', 'understandable', 'quite_frankly', 'safe_Deche', 'ŒŒIt', 'illusion', 'embed_Lapan', 'wonder', 'pioneer_LaLanne', ""C'est_Vrai_means"", 'Ireally', 'sounds_hokey', 'actually', 'notion', 'celebrating_Zahler', 'Milli_Vanilli_Orlowski', 'Brenda_Talkington', '&_quotThat', 'neighbor_Phoebe_Hoaster', 'bit', 'sensibility', 'unsureness', 'sure', 'shocked_Leskoven', 'JAMES_BLAKE_Yeah', 'Bi_partisanship', 'yes_sir_Mendell', 'unspoken_assumption', 'Gadaon', 'Norv_Fouts', 'destruction_Billiot', 'Illinois_Sweer', 'Scum_Alert', 'Self_deprecation', 'VAN_SUSTEREN_Well', 'TRUMP_Well', 'abstractness', 'Sophia_Nakano', 'TOOBIN_Well', 'definitely', 'youngness', 'Sounds_TOO', 'timidness', 'belief', ""O'REILLY_OK"", 'DEPUTY_SECRETARY_LEW', 'PALIN_Well', 'misspell_Murkowski', ""everything'sa"", ""I'ma_stickler"", 'instinct', ""Today'sa"", 'JEFF_GORDON_Yeah', 'selfconfidence', 'TOM_OLIPHANT', 'Wishful_thinking']","['sense', 'assumption', 'haste', 'representation', 'sacrifice']","['concern', 'assumption', 'impression', 'lot', 'representation', 'bit', 'haste', 'guess', 'sacrifice', 'sense']"
7,25,"['change', 'changes', 'changing', 'adjustment', 'alter', 'changed', 'shift', 'revision', 'Changing', 'Changes', 'adjustments', 'alterations', 'readjustments', 'adjust', 'Change', 'seismic_shift', 'readjustment', 'tweak', 'altering', 'paradigm_shift', 'reversal', 'revisions', 'reevaluation', 'drastically_alter', 'alteration', 'modification', 'reorientation', 'altered', 'modifications', 'rethink', 'tweaks', 'modify', 'improvement', 'alters', 'reshaping', 'recalibration', 'transformation', 'readjust', 'rearrangement', 'overhauls', 'tweaking', 'shakeup', 'internal_circadian_clocks', 'realignment', 'reshuffling', 're_evalute', 'redefinition', 'switch', 'revamp', 'transformations', 'rethinking', 'reassessment', 'drastically_altered', 'improvements', 'radically_alter', 'difference', 'deviation', 'tectonic_shift', 'overhaul', 'transition', 'move', 'reshape', 'recalibrate', 'turnaround', 'attitudinal_shift', 'fundamental_reordering', 'adjusting', 'shifting', 'mindshift', 'shifts', 'reversion', 'reordering', 'revaluate', 'perceptible_shift', 'Tweaking', 'departure', 'reassess', 'radically_altered', 'reduction', 'minor_tweaks', 'reconfiguration', 'tinker', 'fluctuation', 'chan_ges', 'Experiment_Maushart', 'Expansionary_fiscal', 'rehaul', 'decrease', 'transitions', 'variation', 'refinements', 'Altering', 'Note_Movie_showtimes', 'Miscellaneous_Fares', 'rebalancing', 'realign', 'deviate', 'rejigging', 'increase', 'reverse']","['alteration', 'revision', 'change', 'transition', 'adjustment']","['alteration', 'transition', 'adjustment', 'revision', 'modification', 'change']"
8,20,"['decision', 'recommendation', 'decison', 'announcement', 'request', 'proposal', 'decsion', 'decisions', 'pronouncement', 'recommendations', 'Decision', 'thedecision', 'ruling', 'suggestion', 'deicision', 'announcment', 'deci_sion', 'annoucement', 'objection', 'statement', 'assertion', 'determinations', 'desicion', 'descision', 'directive', 'refusal', 'proposals', 'conclusion', 'declaration', 'determination', 'verdict', 'findings', 'appointment', 'nouncement', 'judgment', 'decission', 'unrushed_methodical_manner', 'move', 'stance', 'Zarella_nomination', 'unanimous_Jagland', 'staement', 'withdrawal_Genson_insinuated', 'reccomendation', 'ALJ_Initial_Determination', 'counsel_Art_Vertlieb', 'plan', 'opinion', 'accusation', 'reasoning', 'recomendations', 'remark', 'spokeswoman_Liana_Shlyaposhnikova', 'affirmative_determinations', 'counteroffer', 'rulings', 'agreement', 'Councillors_voted_unanimously', 'Swiss_association_ProBasket', 'rejection', 'appeal', 'assessment', 'assertions', 'National_Coverage_Determination', 'Baskins_resignation', 'Decisions', 'procedurally_flawed', 'comments', 'spokesperson_Marumo_Moerane', 'allegation', 'submission', 'remarks', 'reconsideration', 'arguments', 'Maynard_recused_himself', 'objections', 'spokeswoman_Andrea_Wuebker', 'de_cision', 'dioxin_reassessment', 'conclusions', 'insistence', 'appointement', 'conciliatory_noises', 'factual_determinations', 'plans', 'nondecision', 'Lamberth_injunction', 'DeWyze_raspy_tone', 'Spokesman_Brian_Roehrkasse', 'unanimously', 'en_masse_resignations', 'deciding', 'resignation', 'conclave_implying', 'An_Bórd_Pleanála', 'offer_Gov._Yuhei', 'counterproposal', 'Justice_Davendra_Pathik', 'decided', 'argument']","['conclusion', 'announcement', 'request', 'decision', 'submission']","['decision', 'submission', 'proposal', 'recommendation', 'determination', 'announcement', 'assessment', 'conclusion', 'request', 'objection']"
9,3,"['statue', 'bronze_statue', 'sculpture', 'statues', 'bronze_sculpture', 'monument', 'sculptures', 'bronze_bust', 'marble_statue', 'bronze_likeness', 'mural', 'bronze_statues', 'figurine', 'tall_bronze_statue', 'sized_bronze_statue', 'sculptor', 'statue_depicting', 'lifesize_statue', 'fiberglass_statue', 'marble_sculpture', 'bronze_sculptures', 'bas_relief_sculpture', 'equestrian_statue', 'obelisk', 'bas_relief', 'sculpture_depicting', 'granite_monument', 'granite_pedestal', 'monument_honoring', 'bronze_plaque', 'granite_obelisk', 'bronze_statuette', 'headless_statue', 'mosaic_mural', 'Statue', 'replica', 'scuplture', 'Buddha_Statue', 'Statues', 'bronze_busts', 'memorial_plaque', 'maquette', 'gravestone', 'granite_plinth', 'tile_mural', 'Buddha_statue', 'doughboy_statue', 'stained_glass_window', 'Sculptures', 'tombstone', 'stone_plinth', 'Mural', 'tall_granite_monument', 'bronze_plaques', 'tall_granite_obelisk', 'murals', 'plaque_honoring', 'Nativity_scene', 'Sculpture', 'lifesize', 'Omri_Amrany', 'Gianlorenzo_Bernini', 'wax_statue', 'mural_depicting', 'Erik_Blome', 'granite_stone', 'Edvard_Eriksen', 'fountain', 'lion_statues', 'monument_erected', 'marble_sculptures', 'Entemena', 'statuary', 'marble_plinth', 'granite_headstone', 'granite_slab', 'tomb', 'erect_statue', 'granite_marker', 'mural_painted', 'Sharon_BuMann', 'museum', 'marble_obelisk', 'Etruscan_terra_cotta', 'likeness', 'Rodin_sculpture', 'bronze_statue_depicting', 'nativity_scene', 'Bronze_plaques', 'mermaid_statue', 'kouros', 'stupa', 'Sculptor', 'marble_edifice', 'bronzed_statue', 'carvings', 'Hanuman_idol', 'memorial', 'winged_lion', 'Nativity_Scene']","['statue', 'sculpture']","['statue', 'sculpture']"
